=== titlewatch start 2026-08-15T19:09:52.4425399+02:00 (no filter) (incl. hidden windows) ===
cols: time | hwnd | visible | process | class | new title
hook=0x22BD1275 — listening. Ctrl+C to stop.
auto-stop in 2400s
19:29:04.061 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:05.021 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:05.983 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:06.943 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:07.904 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:08.865 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:09.825 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:10.786 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:11.747 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
19:29:12.709 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D0 verify-win32-assumptions"
19:29:13.670 | 0x00060C58 | vis=Y | WindowsTerminal    | CASCADIA_HOSTING_WINDOW_CLASS      | "\u25D1 verify-win32-assumptions"
